target,check,result,commit,region,antenna,tester,timestamp_utc,notes
heltec_v4,boot_ui,PENDING,,,,,,
heltec_v4,flash_recovery,PENDING,,,,,,
heltec_v4,ble_reconnect,PENDING,,,,,,
heltec_v4,delivery,PENDING,,,,,,
heltec_v4,multihop,PENDING,,,,,,
heltec_v4,route_failover,PENDING,,,,,,
heltec_v4,settings_persistence,PENDING,,,,,,
heltec_v4,soak_12h,PENDING,,,,,,
heltec_v3,boot_ui,PENDING,,,,,,
heltec_v3,flash_recovery,PENDING,,,,,,
heltec_v3,ble_reconnect,PENDING,,,,,,
heltec_v3,delivery,PENDING,,,,,,
heltec_v3,multihop,PENDING,,,,,,
heltec_v3,route_failover,PENDING,,,,,,
heltec_v3,settings_persistence,PENDING,,,,,,
heltec_v3,soak_12h,PENDING,,,,,,
rak4631,boot_ui,PENDING,,,,,,
rak4631,flash_recovery,PENDING,,,,,,
rak4631,ble_reconnect,PENDING,,,,,,
rak4631,delivery,PENDING,,,,,,
rak4631,multihop,PENDING,,,,,,
rak4631,route_failover,PENDING,,,,,,
rak4631,settings_persistence,PENDING,,,,,,
rak4631,soak_12h,PENDING,,,,,,
rak3401_1w,boot_ui,PENDING,,,,,,
rak3401_1w,flash_recovery,PENDING,,,,,,
rak3401_1w,ble_reconnect,PENDING,,,,,,
rak3401_1w,delivery,PENDING,,,,,,
rak3401_1w,multihop,PENDING,,,,,,
rak3401_1w,route_failover,PENDING,,,,,,
rak3401_1w,settings_persistence,PENDING,,,,,,
rak3401_1w,soak_12h,PENDING,,,,,,
rak19026,boot_ui,PENDING,,,,,,
rak19026,flash_recovery,PENDING,,,,,,
rak19026,ble_reconnect,PENDING,,,,,,
rak19026,delivery,PENDING,,,,,,
rak19026,multihop,PENDING,,,,,,
rak19026,route_failover,PENDING,,,,,,
rak19026,settings_persistence,PENDING,,,,,,
rak19026,soak_12h,PENDING,,,,,,
lilygo_t_echo,boot_ui,PENDING,,,,,,
lilygo_t_echo,flash_recovery,PENDING,,,,,,
lilygo_t_echo,ble_reconnect,PENDING,,,,,,
lilygo_t_echo,delivery,PENDING,,,,,,
lilygo_t_echo,multihop,PENDING,,,,,,
lilygo_t_echo,route_failover,PENDING,,,,,,
lilygo_t_echo,settings_persistence,PENDING,,,,,,
lilygo_t_echo,soak_12h,PENDING,,,,,,
lilygo_t_deck,boot_ui,PENDING,,,,,,
lilygo_t_deck,flash_recovery,PENDING,,,,,,
lilygo_t_deck,ble_reconnect,PENDING,,,,,,
lilygo_t_deck,delivery,PENDING,,,,,,
lilygo_t_deck,multihop,PENDING,,,,,,
lilygo_t_deck,route_failover,PENDING,,,,,,
lilygo_t_deck,settings_persistence,PENDING,,,,,,
lilygo_t_deck,soak_12h,PENDING,,,,,,
elecrow_crowpanel_35,boot_ui,PENDING,,,,,,
elecrow_crowpanel_35,flash_recovery,PENDING,,,,,,
elecrow_crowpanel_35,ble_reconnect,PENDING,,,,,,
elecrow_crowpanel_35,delivery,PENDING,,,,,,
elecrow_crowpanel_35,multihop,PENDING,,,,,,
elecrow_crowpanel_35,route_failover,PENDING,,,,,,
elecrow_crowpanel_35,settings_persistence,PENDING,,,,,,
elecrow_crowpanel_35,soak_12h,PENDING,,,,,,
